Comuna;2013;2014;2015;2016;2017;2018;total;can_int_suic;id;rate
POPULAR;129144;129781;130369;130914;131445;131968;783621;700;1;89.32889752
SANTA CRUZ;110202;110858;111452;111992;112514;113024;670042;479;2;71.48805597
MANRIQUE;158028;158877;159658;160378;161070;161735;959746;744;3;77.52051064
ARANJUEZ;161491;161885;162252;162596;162915;163213;974352;634;4;65.06888681
CASTILLA;148490;149133;149751;150347;150881;151361;899963;608;5;67.55833295
DOCE DE OCTUBRE ;192381;193039;193657;194239;194787;195308;1163411;879;6;75.55369513
ROBLEDO;168624;170178;171660;173075;174406;175652;1033595;899;7;86.97797493
VILLA HERMOSA;136375;136976;137531;138045;138542;139025;826494;758;8;91.71270451
BUENOS AIRES;136154;136477;136774;137049;137255;137402;821111;771;9;93.89717103
LA CANDELARIA;85323;85418;85505;85587;85658;85724;513215;513;10;99.95810723
LAURELES;121678;121969;122243;122503;122744;122972;734109;322;11;43.86269614
LA AMERICA;95523;95916;96278;96613;96918;97199;578447;356;12;61.54409998
SAN JAVIER;136689;137422;138063;138625;139175;139716;829690;654;13;78.82462124
EL POBLADO ;125841;127386;128839;128839;131486;132688;775079;359;14;46.31785921
GUAYABAL;93326;93928;94470;94960;95397;95790;567871;346;15;60.92933078
BELEN;195588;196175;196694;197123;197399;197493;1180472;827;16;70.05672307
SAN CRISTOBAL;71518;75493;79458;86315;93072;99662;505518;315;60;62.31232122
ALTAVISTA;33466;34977;36463;37478;38574;39725;220683;96;70;43.50131184
SAN ANTONIO DE PRADO;95392;102023;108856;113202;117594;121980;659047;409;80;62.05930685
SANTA ELENA;16616;17325;18025;18789;19559;20328;110642;85;90;76.82435242
